addr1,addr2,city,state,zip,matchbackid,tsmart_latitude,tsmart_longitude,tsmart_geolevel,tsmart_censusid
620 S Commerce St Coupland,,Coupland,TX,,208,30.45195,-97.39044,Zip9,4.8491E+14
6600 FM 970 Andice Florence,,Florence,TX,,209,30.8433,-97.79482,Zip5,4.8491E+14
106 S Patterson Ave Florence,,Florence,TX,,210,30.8433,-97.79482,Zip5,4.8491E+14
3151 SE Inner Loop Georgetown,,Georgetown,TX,,211,30.6282,-97.64349,Zip9,4.8491E+14
4011 Williams Dr Georgetown,,Georgetown,TX,,213,30.67606,-97.70592,Zip9,4.8491E+14
1333 W University Ave Georgetown,,Georgetown,TX,,214,30.63282,-97.70734,Zip9,4.8491E+14
500 Terminal Dr Georgetown,,Georgetown,TX,,215,30.67938,-97.67603,Zip9,4.8491E+14
603 Lakeway Dr Georgetown,,Georgetown,TX,,216,30.66822,-97.68821,Zip9,4.8491E+14
111 West 10th St Â­ Ministry Center Georgetown,,Georgetown,TX,,217,30.635046,-97.6771,Street,4.8491E+14
1101 N College St Georgetown,,Georgetown,TX,,218,30.65195,-97.66345,Zip9,4.8491E+14
5404 Williams Dr Georgetown,,Georgetown,TX,,219,30.7029,-97.7444,Zip9,4.8491E+14
2 Texas Dr Georgetown,,Georgetown,TX,,220,30.71698,-97.71569,Zip9,4.8491E+14
301 S E Inner Loop Georgetown,,Georgetown,TX,,222,30.60673,-97.6788,Zip9,4.8491E+14
401 W Front St Hutto,,Hutto,TX,,224,30.54178,-97.55046,Zip9,4.8491E+14
200 College St Hutto,,Hutto,TX,,225,30.54543,-97.54328,Zip9,4.8491E+14
1651 CR 305 Jarrell,,Jarrell,TX,,226,30.83745,-97.620769,Street,4.8491E+14
300 Crystal Falls Parkway Leander,,Leander,TX,,227,30.55678,-97.84769,Zip9,4.8491E+14
3301 S Bagdad Rd Leander,,Leander,TX,,228,30.53651,-97.84772,Zip9,4.8491E+14
1011 S Bagdad Rd Leander,,Leander,TX,,229,30.56048,-97.86175,Zip9,4.8491E+14
201 N Brushy St Leander,,Leander,TX,,230,30.55005,-97.87394,Zip5,4.8491E+14
1501 CR 271 Leander,,Leander,TX,,231,30.58344,-97.83496,Zip9,4.8491E+14
16500 W SH 29 Liberty Hill,,Liberty Hill,TX,,232,30.680999,-97.955531,Street,4.8491E+14
"301 W Bagdad Ave, Bldg 2 ROUND ROCK",,Round Rock,TX,,233,30.506898,-97.680528,Street,4.8491E+14
1009 N Georgetown Ave Round Rock,,Round Rock,TX,,234,30.517496,-97.670713,Street,4.8491E+14
16318 Great Oaks Dr Round Rock,,Round Rock,TX,,235,30.49515,-97.73544,Zip9,4.8491E+14
2801 Gattis School Rd Round Rock,,Round Rock,TX,,236,30.49638,-97.63843,Zip9,4.8491E+14
3400 E PALM VALLEY BLVD Round Rock,,Round Rock,TX,,237,30.526557,-97.629085,Street,4.8491E+14
7320 Wyoming Springs Dr ROUND ROCK,,Round Rock,TX,,238,30.51875,-97.71951,Zip9,4.8491E+14
3505 Forest Creek Dr ROUND ROCK,,Round Rock,TX,,239,30.508816,-97.610394,Street,4.8491E+14
1801 E Old Settlers Blvd Round Rock,,Round Rock,TX,,240,30.540706,-97.659136,Street,4.8491E+14
300 N Lake Creek Dr Round Rock,,Round Rock,TX,,241,30.509179,-97.694886,Street,4.8491E+14
4010 Sam Bass Rd Round Rock,,Round Rock,TX,,242,30.53558,-97.7422,Zip9,4.8491E+14
2051 Gattis School Road Round Rock,,Round Rock,TX,,243,30.49611,-97.65505,Zip9,4.8491E+14
2400 Chisholm Trail Round Rock,,Round Rock,TX,,244,30.53957,-97.69498,Zip9,4.8491E+14
4211 Teravista Club Dr Round Rock,,Round Rock,TX,,247,30.57157,-97.67164,Zip9,4.8491E+14
3379 Gattis School Rd Round Rock,,Round Rock,TX,,248,30.4965,-97.62969,Zip9,4.8491E+14
"211 Commerce Blvd., Bldg B Round Rock",,Round Rock,TX,,249,30.531982,-97.685714,Street,4.8491E+14
400 PORTER ST Taylor,,Taylor,TX,,251,30.57134,-97.40861,Zip9,4.8491E+14
801 Vance St Taylor,,Taylor,TX,,252,30.57488,-97.41241,Zip9,4.8491E+14
409 S Main St Thrall,,Thrall,TX,,253,30.51699,-97.24663,Zip5,4.8491E+14
565 S. Major Dr.,,Beaumont,TX,77707,255,30.07025,-94.189552,Street,4.8245E+14
455 Keith Rd.,,Beaumont,TX,77713,256,30.126985,-94.212811,Street,4.8245E+14
7390 Sweetgum Rd.,,Bevil Oaks,TX,77713,257,30.147111,-94.26917,Street,4.8245E+14
3395 Harrison Ave.,,Beaumont,TX,77706,258,30.089333,-94.136598,Street,4.8245E+14
3650 Dowlen Rd.,,Beaumont,TX,77706,259,30.112105,-94.16836,Street,4.8245E+14
3475 Champions Dr.,,Beaumont,TX,77707,260,30.040584,-94.179261,Street,4.8245E+14
2330 North St.,,Beaumont,TX,77702,261,30.087911,-94.121056,Street,4.8245E+14
20205 W. Hwy 90,,Beaumont,TX,77713,262,30.033266,-94.437203,Street,4.8245E+14
6540 Gladys Ave.,,Beaumont,TX,77706,263,30.091498,-94.174068,Street,4.8245E+14
8055 Voth Rd.,,Beaumont,TX,77708,264,30.146721,-94.180978,Street,4.8245E+14
2025 Merriman St.,,Port Neches,TX,77651,265,29.981302,-93.955186,Street,4.8245E+14
3707 Central Blvd.,,Nederland,TX,77627,266,29.994132,-94.021228,Street,4.8245E+14
3901 Cleveland Ave.,,Groves,TX,77619,267,29.949931,-93.913983,Street,4.8245E+14
207 N. 12th Street,,Nederland,TX,77627,268,29.975234,-93.990551,Street,4.8245E+14
5000 Jerry Ware Dr.,,Beaumont,TX,77705,269,29.95278,-94.07689,Zip9,4.8245E+14
19217 FM 365,,Beaumont,TX,77704,270,29.925623,-94.2503,Street,4.8245E+14
2712 Nederland Ave.,,Nederland,TX,77627,271,29.963592,-93.999776,Street,4.8245E+14
20005 Merriman,,Port Neches,TX,77651,272,29.97792,-93.96472,Zip5,4.8245E+14
5840 W. Jefferson Blvd.,,Groves,TX,77619,273,29.945398,-93.924907,Street,4.8245E+14
740 DeQueen Blvd.,,Port Arthur,TX,77640,274,29.889914,-93.923211,Street,4.8245E+14
615 Ellias St.,,Port Arthur,TX,77640,275,29.897406,-93.989164,Street,4.8245E+14
525 Lakeshore Dr.,,Port Arthur,TX,77640,276,29.870589,-93.93202,Street,4.8245E+14
2441 61st St.,,Port Arthur,TX,77642,277,29.899516,-94.018203,Street,4.8245E+14
4440 Gulfway Dr.,,Port Arthur,TX,77642,278,29.915585,-93.912863,Street,4.8245E+14
4615 9th Ave,,Port Arthur,TX,77642,279,29.926958,-93.947792,Street,4.8245E+14
1308 9th Ave,,Port Arthur,TX,77642,280,29.905571,-93.916888,Street,4.8245E+14
5262 Gulfway Dr.,,Sabine Pass,TX,77655,281,29.73267,-93.89657,Zip5,4.8245E+14
1115 Lakeview Ave.,,Port Arthur,TX,77642,282,29.918006,-93.902747,Street,4.8245E+14
3248 39th St,,Port Arthur,TX,77642,283,29.918801,-93.944487,Street,4.8245E+14
4075 Highland Ave.,,Beaumont,TX,77705,284,30.047608,-94.085289,Street,4.8245E+14
825 Jackson St.,,Beaumont,TX,77701,285,30.070399,-94.086374,Street,4.8245E+14
3525 Cleveland St.,,Beaumont,TX,77703,286,30.113758,-94.122136,Street,4.8245E+14
12393 2nd St.,,Hamshire,TX,77622,287,29.862004,-94.310408,Street,4.8245E+14
1001 Pearl St.,,Beaumont,TX,77701,288,30.07962,-94.094371,Street,4.8245E+14
1400 Avenue A,,Beaumont,TX,77701,289,30.069192,-94.101031,Street,4.8245E+14
3580 E. Lucas Dr.,,Beaumont,TX,77703,290,30.124817,-94.136934,Street,4.8245E+14
7780 Boyt Rd.,,Beaumont,TX,77713,291,29.990647,-94.242792,Street,4.8245E+14
2930 Gulf St.,,Beaumont,TX,77703,292,30.106509,-94.112275,Street,4.8245E+14
4255 Fannett Rd.,,Beaumont,TX,77705,293,30.046034,-94.127813,Street,4.8245E+14
1100 Springwood,,Wylie,TX,75098,294,33.008763,-96.521701,Street,4.8085E+14
720 Pleasant Valley,,Richardson,TX,75080,295,32.994142,-96.730816,Street,4.8085E+14
301 Century Pkwy,,Allen,TX,75013,296,33.101774,-96.674336,Street,4.8085E+14
3805 Timberline,,Plano,TX,75074,297,33.021088,-96.659433,Street,4.8085E+14
318 West School Street,,Blue Ridge,TX,75424,298,33.304571,-96.403805,Street,4.8085E+14
2501 Jupiter Road,,Plano,TX,75074,299,33.03123,-96.682174,Street,4.8085E+14
3800 Clark Parkway,,Plano,TX,75093,300,33.04864,-96.822725,Street,4.8085E+14
3905 Rainier Road,,Plano,TX,75023,301,33.050782,-96.721592,Street,4.8085E+14
6701 Coit Road,,Plano,TX,75024,302,33.06664,-96.770659,Street,4.8085E+14
205 S. Colorado,,Celina,TX,75009,303,33.322679,-96.788063,Street,4.8085E+14
821 S. Greenville ave.,,Allen,TX,75002,304,33.085792,-96.672098,Street,4.8085E+14
3101 Coit Road,,Plano,TX,75075,305,33.038698,-96.770221,Street,4.8085E+14
523 W. Spring Creek Pkwy,,Plano,TX,75023,306,33.05781,-96.702454,Street,4.8085E+14
4600 Colby Dr.,,Frisco,TX,75035,307,33.116258,-96.797059,Street,4.8085E+14
2200 W. University Dr,,McKinney,TX,75071,308,33.217047,-96.640226,Street,4.8085E+14
3452 Spur 399,,McKinney,TX,75069,309,33.14331,-96.62092,Zip9,4.8085E+14
9700 Wade Blvd,,Frisco,TX,75035,310,33.126639,-96.791717,Street,4.8085E+14
2800 E. Spring Creek Pkwy,,Plano,TX,75074,311,33.050149,-96.673048,Street,4.8085E+14
"2010 Redbud Blvd, Suite 102",,McKinney,TX,75069,312,33.220716,-96.627971,Street,4.8085E+14
615 FM 1138,,Nevada,TX,75173,313,33.062671,-96.365274,Street,4.8085E+14
1530 Rivercrest Blvd,,Allen,TX,75002,314,33.107943,-96.630867,Street,4.8085E+14
7501-B Independence Pkwy,,Plano,TX,75025,315,33.078495,-96.750357,Street,4.8085E+14
301 S. East Ridge Road,,McKinney,TX,75070,316,33.195004,-96.695846,Street,4.8085E+14
6993 Stars Ave.,,McKinney,TX,75070,317,33.15147,-96.69765,Zip9,4.8085E+14
2604 Country Club Drive,,McKinney,TX,75070,318,33.173284,-96.650334,Street,4.8085E+14
7011 FM 546,,Princeton,TX,75407,319,33.103051,-96.516068,Street,4.8085E+14
201 Farmersville Parkway,,Farmersville,TX,75442,320,33.161443,-96.362692,Street,4.8085E+14
630 Park Place Drive,,Allen,TX,75002,321,33.09398,-96.657921,Street,4.8085E+14
3801 McDermott Road,,Plano,TX,75025,322,33.101267,-96.76946,Street,4.8085E+14
6670 Moore Street,,Frisco,TX,75034,323,33.14699,-96.8331,Zip9,4.8085E+14
6861 W. Eldorado Parkway,,McKinney,TX,75070,324,33.173971,-96.705745,Street,4.8085E+14
17820 Campbell Road,,Dallas,TX,75252,325,32.994147,-96.806214,Street,4.8085E+14
1501 18th Street,,Plano,TX,75074,326,33.023957,-96.693571,Street,4.8085E+14
14040 Eldorado Pkwy,,Frisco,TX,75035,327,33.174123,-96.754775,Street,4.8085E+14
6401 Independence Pkwy,,Plano,TX,75023,328,33.059726,-96.750683,Street,4.8085E+14
120 School Road,,Lavon,TX,75173,329,33.02621,-96.433353,Street,4.8085E+14
15250 Rolater Road,,Frisco,TX,75035,330,33.137735,-96.733454,Street,4.8085E+14
259 Country Club Rd,,Allen,TX,75002,331,33.091315,-96.591057,Street,4.8085E+14
1405 S Bridgefarmer Road,,Lowry Crossing,TX,75069,332,33.168471,-96.54692,Street,4.8085E+14
665 Country Club Rd,,Lucas,TX,75002,333,33.085143,-96.584891,Street,4.8085E+14
861 S. Independence Pkwy,,McKinney,TX,75070,334,33.1778,-96.71642,Zip9,4.8085E+14
1400 S College,,McKinney,TX,75069,335,33.180187,-96.622247,Street,4.8085E+14
3411 Barker Ave,,Melissa,TX,75454,336,33.292845,-96.572637,Street,4.8085E+14
4223 Briagrove,,Dallas,TX,75287,337,32.992847,-96.836269,Street,4.8085E+14
205 N Murphy Road,,Murphy,TX,75094,338,33.015568,-96.612966,Street,4.8085E+14
1201 E. Louisiana St,,McKinney,TX,75069,339,33.196638,-96.603302,Street,4.8085E+14
5700 E. Parker Road,,Parker,TX,75002,340,33.055093,-96.621343,Street,4.8085E+14
6200 Windhaven Pkwy,,Plano,TX,75093,341,33.056392,-96.83532,Street,4.8085E+14
2700 W. 15th Street,,Plano,TX,75075,342,33.019063,-96.74647,Street,4.8085E+14
1000 E. Princeton Drive,,Princeton,TX,75407,343,33.172464,-96.482923,Street,4.8085E+14
605 E. 7th Street,,Prosper,TX,75078,344,33.239268,-96.795912,Street,4.8085E+14
6400 Frankford Rd,,Dallas,TX,75252,345,32.997901,-96.794563,Street,4.8085E+14
1420 FM 1777,,Royse City,TX,75189,346,33.048602,-96.308576,Street,4.8085E+14
5505 Plano Pkwy,,Plano,TX,75093,347,33.016237,-96.811041,Street,4.8085E+14
1310 Avenue I,,Plano,TX,75074,348,33.02785,-96.6792,Zip5,4.8085E+14
300 Country Club Rd,,Wylie,TX,75098,349,33.011241,-96.572306,Street,4.8085E+14
6927 Stadium Drive,,Frisco,TX,75033,350,33.157281,-96.823713,Street,4.8085E+14
1800 S Stonebridge Drive,,McKinney,TX,75070,351,33.185524,-96.713062,Street,4.8085E+14
1517 W. McDermott,,Allen,TX,75013,352,33.100573,-96.70813,Street,4.8085E+14
402 W. White St,,Anna,TX,75409,353,33.344429,-96.552356,Street,4.8085E+14
117 Main Street,,Weston,TX,75097,354,33.34729,-96.66905,Zip5,4.8085E+14
7520 Woodcreek Way,,Sachse,TX,75048,355,32.99151,-96.58651,Zip9,4.8085E+14
3400 E Renner Road,,Richardson,TX,75082,356,32.996828,-96.657424,Street,4.8085E+14
4400 Austin Pkwy,,Sugarland,TX,77479,357,29.575504,-95.584723,Street,4.81577E+14
319 S. 3rd St,,Beasley,TX,77417,358,29.495797,-95.91525,Street,4.81577E+14
5200 S Fry Rd,,KATY,TX,77450,359,29.720438,-95.751844,Street,4.81577E+14
8200 South Fry Rd.,,KATY,TX,77494,360,29.719796,-95.787872,Street,4.81577E+14
22930 FM 1462,,NEEDVILLE,TX,77461,361,29.351771,-95.635836,Street,4.81577E+14
16000 Blue Ridge Rd,,MISSOURI CITY,TX,77489,362,29.592155,-95.49249,Street,4.81577E+14
2410 Brightwater,,MISSOURI CITY,TX,77459,363,29.583512,-95.571115,Street,4.81577E+14
4300 FM 723,,RICHMOND,TX,77406,364,29.62177,-95.811502,Street,4.81577E+14
4111 Airport Ave,,ROSENBERG,TX,77471,365,29.542883,-95.784637,Street,4.81577E+14
7622 Chasewood Dr,,MISSOURI CITY,TX,77489,366,29.60887,-95.502642,Street,4.81577E+14
1102 FM 2977,,Richmond,TX,77469,367,29.536666,-95.74611,Street,4.81577E+14
4200 Elkins Dr,,Sugarland,TX,77479,368,29.574849,-95.631848,Street,4.81577E+14
4330 Knightsbridge Blvd,,Sugarland,TX,77479,369,29.560806,-95.602823,Street,4.81577E+14
19001 Beechnut,,Richmond,TX,77469,370,29.682664,-95.727099,Street,4.81577E+14
19002 Mission Park Dr,,Richmond,TX,77407,371,29.69113,-95.73045,Zip9,4.81577E+14
7110 Greatwood Pkwy,,Sugarland,TX,77479,372,29.551152,-95.686349,Street,4.81577E+14
7007 Knights Court,,Missouri City,TX,77459,373,29.548429,-95.551036,Street,4.81577E+14
4310 Highway 36 S,,ROSENBERG,TX,77471,374,29.51794,-95.808018,Street,4.81577E+14
2620 Commercial Center Dr,,KATY,TX,77494,375,29.742823,-95.777749,Street,4.81577E+14
8411 Sienna Springs Blvd,,Missouri City,TX,77459,376,29.531755,-95.538442,Street,4.81577E+14
5500 Eldridge,,Sugarland,TX,77478,377,29.62214,-95.60758,Zip5,4.81577E+14
14010 University Blvd,,Sugarland,TX,77479,378,29.55323,-95.575291,Street,4.81577E+14
1570 Rabb Road,,Fresno,TX,77545,379,29.526284,-95.476193,Street,4.81577E+14
4520 Reading Rd,,ROSENBERG,TX,77471,380,29.565178,-95.778947,Street,4.81577E+14
1110 Bamore Rd,,ROSENBERG,TX,77471,381,29.555997,-95.819888,Street,4.81577E+14
3110 Fifth Street,,Stafford,TX,77477,382,29.599122,-95.554895,Street,4.81577E+14
3232 Austin Parkway,,Sugarland,TX,77479,383,29.573525,-95.603708,Street,4.81577E+14
15700 Old Richmond Rd,,Sugarland,TX,77479,384,29.665798,-95.657972,Street,4.81577E+14
7227 W. Grand Pkwy S,,Richmond,TX,77407,385,29.70423,-95.73128,Zip7,4.81577E+14
18550 Old Richmond Rd,,Sugarland,TX,77478,386,29.633477,-95.681485,Street,4.81577E+14
6707 FM 1464,,Richmond,TX,77469,387,29.704438,-95.688318,Street,4.81577E+14
1001 Golfview Dr,,Richmond,TX,77469,388,29.564899,-95.757709,Street,4.81577E+14
7101 FM 2759 Rd RICHMOND 77469,,Richmond,TX,77469,389,29.536706,-95.69508,Street,4.81577E+14
3333 Hurricane Lane,,Missouri City,TX,77459,390,29.53291,-95.498941,Street,4.81577E+14
8295 Independence Blvd,,Missouri City,TX,77459,391,29.601588,-95.512535,Street,4.81577E+14
234 Matlage Way,,Sugarland,TX,77478,392,29.617107,-95.636897,Street,4.81577E+14
6920 Katy-Fulshear Road,,Fulshear,TX,77441,393,29.704729,-95.888645,Street,4.81577E+14
700 Plantation Dr,,Richmond,TX,77406,394,29.625096,-95.717169,Street,4.81577E+14
717 FM 359,,Richmond,TX,77406,395,29.604897,-95.742904,Street,4.81577E+14
14777 Voss Rd,,Sugarland,TX,77498,396,29.644293,-95.63998,Street,4.81577E+14
619 FM 2919,,Kendleton,TX,77451,397,29.44932,-95.99714,Zip5,4.81577E+14
13631 Hwy 36,,NEEDVILLE,TX,77461,398,29.395278,-95.83258,Street,4.81577E+14
702 Burney Rd,,Sugarland,TX,77478,399,29.628463,-95.633499,Street,4.81577E+14
180 Island Blvd,,Missouri City,TX,77479,400,29.556749,-95.532534,Street,4.81577E+14
3323 Mission Valley Dr,,Missouri City,TX,77459,401,29.57031,-95.530395,Street,4.81577E+14
2335 Dulles Ave,,Missouri City,TX,77459,402,29.588879,-95.581349,Street,4.81577E+14
3703 Lost Creek Blvd,,Sugarland,TX,77478,403,29.595612,-95.589311,Extrapolate,4.81577E+14
21000 Westheimer Parkway,,KATY,TX,77450,404,29.739355,-95.739686,Street,4.81577E+14
One Troyan Dr,,Meadows Place,TX,77477,405,29.648215,-95.578564,Street,4.81577E+14
6301 S Stadium Ln,,KATY,TX,77492,406,29.781043,-95.83042,Street,4.81577E+14
16200 Beechnut St,,Houston,TX,77483,407,29.689037,-95.672,Street,4.81577E+14
16816 Quail Park Dr,,Missouri City,TX,77459,408,29.58155,-95.518538,Street,4.81577E+14
1522 Texas Parkway,,Missouri City,TX,77489,409,29.605818,-95.527118,Street,4.81577E+14
2701 Cypress Point Dr,,Missouri City,TX,77459,410,29.579973,-95.543252,Street,4.81577E+14
